date,sales,covers,outside,apparent_temperature,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,temperature,day_of_week,month,closed,ppa
2017-01-02,12814.84,173.0,0,35.59,0.93,0.0243,03:00PM,0.74,rain,1027.76,rain,39.12,0,1,0,74.07421965317918
2017-01-03,12442.11,184.0,0,41.72,0.95,0.0919,05:00PM,0.7,rain,999.38,rain,43.06,1,1,0,67.62016304347826
2017-01-04,11877.64,176.0,0,35.07,0.37,0.018000000000000002,12:00AM,0.0,rain,1003.24,clear-night,41.16,2,1,0,67.4865909090909
2017-01-05,14057.79,190.0,0,26.44,0.49,0.0,05:01AM,0.0,none,1014.93,cloudy,31.49,3,1,0,73.98836842105264
2017-01-06,14531.97,194.0,0,24.24,0.49,0.0023,12:00PM,0.0,snow,1023.22,partly-cloudy-night,29.02,4,1,0,74.9070618556701
2017-01-07,16751.239999999998,213.0,0,12.77,0.87,0.0004,01:00PM,0.0,none,1020.02,fog,20.73,5,1,0,78.64431924882628
2017-01-08,13628.09,189.0,0,11.49,0.51,0.0,05:01AM,0.0,none,1032.84,clear-night,20.24,6,1,0,72.10629629629629
2017-01-09,12604.6,174.0,0,20.34,0.61,0.0,05:01AM,0.0,none,1038.7,partly-cloudy-night,20.34,0,1,0,72.44022988505748
2017-01-10,13227.15,176.0,0,36.73,0.84,0.0046,11:00PM,0.0,rain,1027.9,cloudy,36.73,1,1,0,75.15426136363637
2017-01-11,14294.739999999998,203.0,0,45.54,0.84,0.0959,03:00AM,0.0,rain,1024.22,partly-cloudy-night,45.54,2,1,0,70.41743842364531
2017-01-12,15468.55,182.0,0,60.89,0.71,0.0878,12:00AM,0.0,rain,1017.25,cloudy,60.89,3,1,0,84.99203296703297
2017-01-13,14839.62,208.0,0,30.05,0.47,0.0,05:01AM,0.0,none,1037.3,partly-cloudy-night,34.97,4,1,0,71.34432692307692
2017-01-14,17289.53,225.0,0,29.46,0.9,0.0005,05:00PM,0.0,none,1029.51,cloudy,29.46,5,1,0,76.84235555555556
2017-01-15,14541.24,229.0,0,32.29,0.65,0.0081,12:00PM,0.0,rain,1028.81,clear-night,32.29,6,1,0,63.49886462882096
2017-01-16,13852.72,204.0,0,38.87,0.61,0.0003,02:00PM,0.0,none,1027.36,partly-cloudy-night,38.87,0,1,0,67.90549019607843
2017-01-17,11401.96,138.0,0,39.17,0.93,0.0615,07:00PM,1.0,rain,1017.13,rain,39.17,1,1,0,82.62289855072463
2017-01-18,11972.37,179.0,0,40.5,0.87,0.022000000000000002,04:00AM,0.0,rain,1016.94,cloudy,40.5,2,1,0,66.88474860335197
2017-01-19,14409.93,183.0,0,41.48,0.74,0.0,05:01AM,0.0,none,1017.2,partly-cloudy-night,41.48,3,1,0,78.7427868852459
2017-01-20,16559.2,209.0,0,40.87,0.9,0.0229,06:00PM,0.29,rain,1013.3,cloudy,40.87,4,1,0,79.23062200956939
2017-01-21,18003.79,254.0,0,45.28,0.94,0.0018,12:00AM,0.0,rain,1009.79,cloudy,45.28,5,1,0,70.88106299212599
2017-01-22,11864.919999999998,167.0,0,44.96,0.84,0.0034,06:00PM,0.0,rain,1007.44,cloudy,47.72,6,1,0,71.04742514970059
2017-01-23,13118.67,164.0,0,30.01,0.9,0.1399,08:00PM,1.0,rain,1002.66,rain,36.91,0,1,0,79.99189024390245
2017-01-24,15002.2,187.0,0,32.52,0.87,0.1211,12:00AM,0.85,rain,996.18,rain,38.37,1,1,0,80.22566844919787
2017-01-25,15672.27,204.0,0,42.85,0.73,0.0015,12:00AM,0.0,rain,1003.93,partly-cloudy-night,42.85,2,1,0,76.82485294117647
2017-01-26,13125.48,148.0,0,39.76,0.56,0.0067,11:00AM,0.0,rain,998.7,partly-cloudy-night,43.99,3,1,0,88.68567567567567
2017-01-27,15530.009999999998,197.0,0,33.46,0.59,0.0,05:01AM,0.0,none,1003.27,cloudy,38.75,4,1,0,78.83253807106598
2017-01-28,17448.77,224.0,0,33.39,0.57,0.0,05:01AM,0.0,none,1007.41,cloudy,36.65,5,1,0,77.89629464285714
2017-01-29,13307.47,198.0,0,36.71,0.49,0.0,05:01AM,0.0,none,1007.08,partly-cloudy-night,36.71,6,1,0,67.20944444444444
