date,covers,sales,outside,apparent_temperature,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,temperature,day_of_week,month,closed,ppa
2017-01-02,173.0,13159.84,0,35.58,0.92,0.0242,03:00PM,0.79,rain,1027.98,rain,39.06,0,1,0,76.06843930635839
2017-01-03,178.0,12442.11,0,41.5,0.94,0.0913,05:00PM,0.77,rain,1000.08,rain,43.19,1,1,0,69.89949438202248
2017-01-04,172.0,12927.64,0,36.81,0.4,0.0176,12:00AM,0.0,rain,1002.55,clear-night,42.29,2,1,0,75.1606976744186
2017-01-05,188.0,14457.79,0,27.11,0.48,0.0,05:01AM,0.0,none,1014.61,cloudy,31.36,3,1,0,76.90313829787235
2017-01-06,192.0,15331.97,0,24.74,0.48,0.0019,12:00PM,0.0,snow,1022.8,partly-cloudy-night,29.42,4,1,0,79.85401041666667
2017-01-07,200.0,16245.739999999998,0,12.75,0.86,0.0005,04:00PM,0.0,snow,1019.96,fog,20.76,5,1,0,81.22869999999999
2017-01-08,187.0,14428.09,0,12.43,0.5,0.0,05:01AM,0.0,none,1032.24,partly-cloudy-night,20.61,6,1,0,77.1555614973262
2017-01-09,172.0,12604.6,0,20.6,0.6,0.0,05:01AM,0.0,none,1038.82,partly-cloudy-night,20.6,0,1,0,73.28255813953488
2017-01-10,174.0,13227.15,0,36.32,0.82,0.0046,11:00PM,0.0,rain,1028.4,cloudy,36.32,1,1,0,76.01810344827587
2017-01-11,188.0,15294.74,0,45.38,0.83,0.0999,03:00AM,0.0,rain,1024.75,partly-cloudy-night,45.38,2,1,0,81.355
2017-01-12,180.0,15518.55,0,61.38,0.7,0.0873,12:00AM,0.0,rain,1016.83,partly-cloudy-night,61.38,3,1,0,86.21416666666666
2017-01-13,204.0,14839.62,0,30.67,0.46,0.0,05:01AM,0.0,none,1036.88,clear-night,35.67,4,1,0,72.74323529411765
2017-01-14,225.0,17289.53,0,29.35,0.9,0.0007,05:00PM,0.0,none,1029.87,cloudy,29.35,5,1,0,76.84235555555556
2017-01-15,222.0,15491.24,0,32.81,0.64,0.0076,12:00PM,0.0,rain,1028.75,clear-night,32.81,6,1,0,69.78036036036036
2017-01-16,198.0,13852.72,0,38.64,0.61,0.0003,02:00PM,0.0,none,1027.4,partly-cloudy-night,38.64,0,1,0,69.96323232323232
2017-01-17,135.0,11401.96,0,39.16,0.92,0.0614,07:00PM,1.0,rain,1017.45,rain,39.16,1,1,0,84.45896296296296
2017-01-18,178.0,13072.37,0,40.71,0.87,0.0218,04:00AM,0.0,rain,1017.04,cloudy,40.71,2,1,0,73.44028089887641
2017-01-19,181.0,14309.929999999997,0,41.9,0.73,0.0,05:01AM,0.0,none,1017.13,partly-cloudy-night,41.9,3,1,0,79.06038674033147
2017-01-20,203.0,16909.2,0,40.89,0.9,0.023,06:00PM,0.56,rain,1013.34,rain,40.89,4,1,0,83.29655172413794
2017-01-21,239.0,17803.79,0,45.52,0.93,0.0016,12:00AM,0.0,rain,1009.74,cloudy,45.52,5,1,0,74.49284518828452
2017-01-22,167.0,11864.92,0,46.11,0.85,0.0034,06:00PM,0.0,rain,1007.34,cloudy,47.89,6,1,0,71.0474251497006
2017-01-23,154.0,13118.67,0,30.42,0.9,0.1405,08:00PM,1.0,rain,1003.1,rain,37.0,0,1,0,85.18616883116883
2017-01-24,172.0,15002.2,0,33.08,0.86,0.1224,12:00AM,0.65,rain,995.82,rain,38.69,1,1,0,87.22209302325582
2017-01-25,195.0,15672.27,0,43.1,0.71,0.0015,12:00AM,0.0,rain,1004.03,partly-cloudy-night,43.1,2,1,0,80.37061538461539
2017-01-26,145.0,13775.48,0,40.0,0.56,0.0061,11:00AM,0.0,rain,998.44,partly-cloudy-night,44.19,3,1,0,95.00331034482758
2017-01-27,195.0,15530.009999999998,0,34.08,0.58,0.0,05:01AM,0.0,none,1003.06,cloudy,38.99,4,1,0,79.64107692307691
2017-01-28,216.0,17798.769999999997,0,33.72,0.57,0.0,05:01AM,0.0,none,1007.07,cloudy,36.61,5,1,0,82.40171296296295
2017-01-29,198.0,13957.47,0,37.06,0.47,0.0,05:01AM,0.0,none,1006.94,partly-cloudy-night,37.06,6,1,0,70.49227272727272
2017-01-30,182.0,13181.96,0,31.76,0.44,0.0,05:01AM,0.0,none,1012.54,clear-night,31.76,0,1,0,72.42835164835164
2017-01-31,161.0,14639.51,0,30.62,0.86,0.0003,03:00PM,0.0,none,1010.03,cloudy,30.62,1,1,0,90.92863354037267
2017-02-01,192.0,14123.7,0,39.55,0.66,0.0052,12:00PM,0.0,rain,1015.95,partly-cloudy-night,41.24,2,2,0,73.56093750000001
2017-02-02,179.0,17747.129999999994,0,33.14,0.53,0.0,05:01AM,0.0,none,1020.64,partly-cloudy-night,36.37,3,2,0,99.14597765363125
2017-02-03,196.0,17399.43,0,24.85,0.45,0.0,05:01AM,0.0,none,1020.68,cloudy,30.71,4,2,0,88.77260204081632
2017-02-04,216.0,17545.95,0,28.06,0.4,0.0,05:01AM,0.0,none,1026.33,clear-night,31.29,5,2,0,81.23125
2017-02-05,0.0,0.0,0,36.49,0.48,0.0,05:01AM,0.0,none,1012.31,partly-cloudy-night,38.94,6,2,1,0.0
2017-02-06,164.0,12541.53,0,39.99,0.69,0.0,05:01AM,0.0,none,1018.27,clear-night,39.99,0,2,0,76.47274390243903
2017-02-07,172.0,14185.24,0,35.25,0.93,0.0731,12:00PM,0.0,rain,1007.25,cloudy,38.14,1,2,0,82.47232558139535
2017-02-08,183.0,14382.57,0,47.83,0.58,0.0147,04:00AM,0.0,rain,1006.03,partly-cloudy-night,47.83,2,2,0,78.59327868852459
2017-02-09,186.0,13655.02,0,9.89,0.54,0.0075,06:00AM,0.0,snow,1011.08,partly-cloudy-night,20.88,3,2,0,73.41408602150538
2017-02-10,166.0,15970.63,0,23.96,0.56,0.0071,03:00PM,0.0,snow,1022.18,cloudy,28.87,4,2,0,96.20861445783132
2017-02-11,221.0,16634.659999999996,0,40.32,0.65,0.0127,01:00PM,0.0,rain,1016.38,partly-cloudy-night,40.32,5,2,0,75.26995475113121
2017-02-12,193.0,14299.8,0,34.4,0.94,0.0181,01:00PM,0.5,rain,1005.48,rain,34.4,6,2,0,74.09222797927461
2017-02-13,192.0,14230.93,0,25.59,0.58,0.0061,12:00PM,0.0,snow,1014.03,partly-cloudy-night,32.6,0,2,0,74.11942708333333
2017-02-14,186.0,14481.16,0,36.52,0.65,0.0059,03:00PM,0.0,rain,1008.79,clear-night,36.52,1,2,0,77.85569892473119
2017-02-15,193.0,15609.009999999998,0,32.07,0.78,0.0032,01:00PM,0.26,rain,995.37,cloudy,37.47,2,2,0,80.87569948186528
2017-02-16,193.0,15115.679999999997,0,23.62,0.53,0.0,05:01AM,0.0,none,1006.68,partly-cloudy-night,30.87,3,2,0,78.31958549222796
2017-02-17,198.0,16962.3,0,37.94,0.45,0.0,05:01AM,0.0,none,1011.67,clear-night,37.94,4,2,0,85.66818181818182
2017-02-18,211.0,15932.199999999995,0,55.52,0.47,0.0,05:01AM,0.0,none,1004.57,clear-night,55.52,5,2,0,75.5080568720379
2017-02-19,195.0,15567.31,0,54.49,0.46,0.0,05:01AM,0.0,none,1012.24,clear-night,54.49,6,2,0,79.83235897435897
2017-02-20,184.0,12690.5,0,41.97,0.31,0.0,05:01AM,0.0,none,1026.07,clear-night,44.46,0,2,0,68.97010869565217
2017-02-21,186.0,13379.98,0,41.45,0.71,0.0,05:01AM,0.0,none,1022.59,partly-cloudy-night,41.45,1,2,0,71.93537634408602
2017-02-22,172.0,12914.12,0,49.82,0.73,0.0,05:01AM,0.0,none,1012.75,partly-cloudy-night,49.82,2,2,0,75.08209302325582
2017-02-23,185.0,13450.75,0,56.74,0.78,0.0,05:01AM,0.0,none,1011.24,partly-cloudy-night,56.74,3,2,0,72.70675675675676
2017-02-24,211.0,14834.670000000002,0,61.06,0.77,0.0,05:01AM,0.0,none,1011.06,partly-cloudy-night,61.06,4,2,0,70.30649289099527
2017-02-25,232.0,16599.519999999997,0,52.18,0.9,0.1641,08:00PM,1.0,rain,1000.85,rain,52.18,5,2,0,71.54965517241378
2017-02-26,198.0,14263.85,0,34.59,0.46,0.0,02:00AM,0.0,none,1022.15,partly-cloudy-night,37.75,6,2,0,72.03964646464647
2017-02-27,169.0,13716.86,0,48.55,0.52,0.0,05:01AM,0.0,none,1029.25,partly-cloudy-night,48.55,0,2,0,81.16485207100592
2017-02-28,157.0,15136.09,0,51.81,0.9,0.0,05:01AM,0.0,none,1020.57,cloudy,51.81,1,2,0,96.40821656050956
2017-03-01,177.0,13773.48,0,65.76,0.61,0.0827,12:00PM,0.0,rain,997.46,clear-night,65.76,2,3,0,77.81627118644067
2017-03-02,179.0,15066.19,0,35.75,0.34,0.0014,02:00AM,0.0,rain,1016.13,clear-night,40.41,3,3,0,84.16865921787709
2017-03-03,188.0,14819.79,0,24.47,0.55,0.0,05:01AM,0.0,none,1026.66,partly-cloudy-night,31.1,4,3,0,78.82867021276596
2017-03-04,236.0,18980.779999999995,0,13.64,0.31,0.0,05:01AM,0.0,none,1034.61,clear-night,22.65,5,3,0,80.42703389830507
2017-03-05,215.0,14517.5,0,30.91,0.26,0.0,05:01AM,0.0,none,1033.91,clear-night,30.91,6,3,0,67.52325581395348
2017-03-06,165.0,13041.74,0,39.38,0.54,0.0,05:01AM,0.0,none,1030.78,cloudy,39.38,0,3,0,79.04084848484848
2017-03-07,168.0,13784.06,0,48.34,0.87,0.0318,11:00AM,0.0,rain,1019.58,partly-cloudy-night,48.34,1,3,0,82.04797619047619
2017-03-08,187.0,14269.45,0,55.23,0.33,0.0146,07:00AM,0.0,rain,1012.25,clear-night,55.23,2,3,0,76.3072192513369
2017-03-09,188.0,14775.67,0,52.4,0.32,0.0,05:01AM,0.0,none,1014.93,partly-cloudy-night,52.4,3,3,0,78.59398936170213
2017-03-10,192.0,15135.91,0,24.96,0.47,0.0232,04:00PM,0.0,snow,1012.52,partly-cloudy-night,31.61,4,3,0,78.83286458333333
2017-03-11,210.0,18060.54,0,17.49,0.49,0.0,05:01AM,0.0,none,1022.62,partly-cloudy-night,25.07,5,3,0,86.00257142857143
2017-03-12,193.0,14304.03,0,20.81,0.37,0.0,05:01AM,0.0,none,1026.9,clear-night,27.72,6,3,0,74.11414507772021
2017-03-13,177.0,13130.57,0,27.76,0.49,0.0005,03:00PM,0.0,none,1028.04,partly-cloudy-night,31.26,0,3,0,74.18401129943503
2017-03-14,0.0,0.0,0,21.77,0.82,0.0212,10:00AM,0.0,snow,993.63,cloudy,29.62,1,3,1,0.0
2017-03-15,174.0,13946.539999999995,0,16.76,0.55,0.0,05:01AM,0.0,none,1006.81,cloudy,25.77,2,3,0,80.15252873563216
2017-03-16,185.0,14506.04,0,33.02,0.35,0.021,03:00PM,0.19,rain,1015.55,clear-night,37.42,3,3,0,78.41102702702703
2017-03-17,212.0,18270.45,0,41.57,0.37,0.0088,02:00PM,0.0,rain,1022.36,clear-night,41.57,4,3,0,86.1813679245283
2017-03-18,221.0,17417.11,0,30.53,0.89,0.0109,07:00PM,0.83,sleet,1021.4,sleet,34.81,5,3,0,78.81045248868779
2017-03-19,200.0,15175.57,0,43.82,0.37,0.0004,11:00AM,0.0,none,1020.4,clear-night,43.82,6,3,0,75.87785
2017-03-20,189.0,13641.76,0,48.54,0.32,0.0,05:01AM,0.0,none,1015.28,partly-cloudy-night,48.54,0,3,0,72.17862433862435
2017-03-21,177.0,13990.11,0,54.19,0.43,0.0,05:01AM,0.0,none,1010.56,partly-cloudy-night,54.19,1,3,0,79.04016949152543
2017-03-22,182.0,13219.240000000002,0,21.24,0.27,0.0,05:01AM,0.0,none,1026.71,clear-night,29.42,2,3,0,72.63318681318682
2017-03-23,166.0,12274.55,0,39.66,0.25,0.0,05:01AM,0.0,none,1033.22,clear-night,39.66,3,3,0,73.94307228915662
2017-03-24,193.0,14918.99,0,52.53,0.55,0.001,02:00PM,0.0,none,1019.86,partly-cloudy-night,52.53,4,3,0,77.30046632124352
