date,inside_sales,outside_sales,inside_covers,outside_covers,reserved_covers,walkin_covers,waitlist_covers,no_show_covers,no_show_parties,apparent_temperature,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,temperature
2017-01-02,13159.84,,174,0,106,26,42,17,6,35.58,0.92,0.0242,15:00:00,0.79,rain,1027.98,rain,39.06
2017-01-03,12442.11,,181,0,119,31,31,14,4,41.5,0.94,0.0913,17:00:00,0.77,rain,1000.08,rain,43.19
2017-01-04,12927.64,,174,0,131,17,26,5,2,36.81,0.4,0.0176,00:00:00,0.0,rain,1002.55,clear-night,42.29
2017-01-05,14457.79,,191,0,138,25,28,4,2,27.11,0.48,0.0,05:01:00,0.0,none,1014.61,cloudy,31.36
2017-01-06,15331.97,,200,0,130,16,54,6,3,24.74,0.48,0.0019,12:00:00,0.0,snow,1022.8,partly-cloudy-night,29.42
2017-01-07,16245.74,,209,0,115,22,72,4,1,12.75,0.86,0.0005,16:00:00,0.0,snow,1019.96,fog,20.76
2017-01-08,14428.09,,188,0,135,13,40,8,3,12.43,0.5,0.0,05:01:00,0.0,none,1032.24,partly-cloudy-night,20.61
2017-01-09,12604.6,,175,0,131,25,19,4,2,20.6,0.6,0.0,05:01:00,0.0,none,1038.82,partly-cloudy-night,20.6
2017-01-10,13227.15,,179,0,134,15,30,11,3,36.32,0.82,0.0046,23:00:00,0.1,rain,1028.4,cloudy,36.32
2017-01-11,15294.74,,187,0,139,18,30,3,2,45.38,0.83,0.0999,03:00:00,0.0,rain,1024.75,partly-cloudy-night,45.38
2017-01-12,15518.55,,182,0,124,17,41,13,7,61.38,0.7,0.0873,00:00:00,0.0,rain,1016.83,partly-cloudy-night,61.38
2017-01-13,14839.62,,201,0,131,25,45,19,5,30.67,0.46,0.0,05:01:00,0.0,none,1036.88,clear-night,35.67
2017-01-14,17289.53,,222,0,155,10,57,10,4,29.35,0.9,0.0007,17:00:00,0.0,none,1029.87,cloudy,29.35
2017-01-15,15491.24,,222,0,146,21,55,18,6,32.81,0.64,0.0076,12:00:00,0.0,rain,1028.75,clear-night,32.81
2017-01-16,13852.72,,200,0,143,14,43,2,1,38.64,0.61,0.0003,14:00:00,0.0,none,1027.4,partly-cloudy-night,38.64
2017-01-17,11401.96,,139,0,105,19,15,4,2,39.16,0.92,0.0614,19:00:00,1.0,rain,1017.45,rain,39.16
2017-01-18,13072.37,,173,0,121,24,28,14,6,40.71,0.87,0.0218,04:00:00,0.0,rain,1017.04,cloudy,40.71
2017-01-19,14309.93,,186,0,129,23,34,5,3,41.9,0.73,0.0,05:01:00,0.0,none,1017.13,partly-cloudy-night,41.9
2017-01-20,16909.2,,202,0,140,14,48,6,2,40.89,0.9,0.023,18:00:00,0.56,rain,1013.34,rain,40.89
2017-01-21,17803.79,,241,0,163,20,58,4,2,45.52,0.93,0.0016,00:00:00,0.0,rain,1009.74,cloudy,45.52
2017-01-22,11864.92,,167,0,116,26,25,6,3,46.11,0.85,0.0034,18:00:00,0.07,rain,1007.34,cloudy,47.89
2017-01-23,13118.67,,164,0,129,18,17,16,5,30.42,0.9,0.1405,20:00:00,1.0,rain,1003.1,rain,37.0
2017-01-24,15002.2,,179,0,136,2,41,10,4,33.08,0.86,0.1224,00:00:00,0.65,rain,995.82,rain,38.69
2017-01-25,15672.27,,198,0,151,15,32,2,1,43.1,0.71,0.0015,00:00:00,0.0,rain,1004.03,partly-cloudy-night,43.1
2017-01-26,13775.48,,148,0,89,17,42,10,4,40.0,0.56,0.0061,11:00:00,0.0,rain,998.44,partly-cloudy-night,44.19
2017-01-27,15530.01,,202,0,140,17,45,8,4,34.08,0.58,0.0,05:01:00,0.0,none,1003.06,cloudy,38.99
2017-01-28,17798.77,,217,0,142,25,50,8,3,33.72,0.57,0.0,05:01:00,0.0,none,1007.07,cloudy,36.61
2017-01-29,13957.47,,198,0,130,17,51,6,3,37.06,0.47,0.0,05:01:00,0.0,none,1006.94,partly-cloudy-night,37.06
2017-01-30,13181.96,,183,0,139,11,33,9,4,31.76,0.44,0.0,05:01:00,0.0,none,1012.54,clear-night,31.76
2017-01-31,14639.51,,161,0,117,15,29,10,4,30.62,0.86,0.0003,15:00:00,0.0,none,1010.03,cloudy,30.62
2017-02-01,14123.7,,194,0,145,8,41,8,3,39.55,0.66,0.0052,12:00:00,0.0,rain,1015.95,partly-cloudy-night,41.24
2017-02-02,17747.13,,178,0,130,14,34,10,3,33.14,0.53,0.0,05:01:00,0.0,none,1020.64,partly-cloudy-night,36.37
2017-02-03,17399.43,,206,0,147,17,42,8,2,24.85,0.45,0.0,05:01:00,0.0,none,1020.68,cloudy,30.71
2017-02-04,17545.95,,217,0,152,24,41,0,0,28.06,0.4,0.0,05:01:00,0.0,none,1026.33,clear-night,31.29
2017-02-06,12541.53,,168,0,127,20,21,8,3,39.99,0.69,0.0,05:01:00,0.0,none,1018.27,clear-night,39.99
2017-02-07,14185.24,,176,0,133,14,29,9,3,35.25,0.93,0.0731,12:00:00,0.0,rain,1007.25,cloudy,38.14
2017-02-08,14382.57,,186,0,129,16,41,16,7,47.83,0.58,0.0147,04:00:00,0.0,rain,1006.03,partly-cloudy-night,47.83
2017-02-09,13655.02,,181,0,112,16,53,12,7,9.89,0.54,0.0075,06:00:00,0.0,snow,1011.08,partly-cloudy-night,20.88
2017-02-10,15970.63,,177,0,136,10,31,2,1,23.96,0.56,0.0071,15:00:00,0.0,snow,1022.18,cloudy,28.87
2017-02-11,16634.66,,222,0,140,27,55,11,4,40.32,0.65,0.0127,13:00:00,0.13,rain,1016.38,partly-cloudy-night,40.32
2017-02-12,14299.8,,200,0,138,28,34,7,3,34.4,0.94,0.0181,13:00:00,0.5,rain,1005.48,rain,34.4
2017-02-13,14230.93,,190,0,143,24,23,20,7,25.59,0.58,0.0061,12:00:00,0.0,snow,1014.03,partly-cloudy-night,32.6
2017-02-14,14481.16,,186,0,123,20,43,10,4,36.52,0.65,0.0059,15:00:00,0.0,rain,1008.79,clear-night,36.52
2017-02-15,15609.01,,196,0,144,17,35,9,4,32.07,0.78,0.0032,13:00:00,0.26,rain,995.37,cloudy,37.47
2017-02-16,15115.68,,196,0,144,22,30,4,1,23.62,0.53,0.0,05:01:00,0.0,none,1006.68,partly-cloudy-night,30.87
2017-02-17,16962.3,,210,0,149,23,38,5,2,37.94,0.45,0.0,05:01:00,0.0,none,1011.67,clear-night,37.94
2017-02-18,15932.2,,215,0,139,33,43,4,2,55.52,0.47,0.0,05:01:00,0.0,none,1004.57,clear-night,55.52
2017-02-19,15567.31,,200,0,140,22,38,8,2,54.49,0.46,0.0,05:01:00,0.0,none,1012.24,clear-night,54.49
2017-02-20,12690.5,,183,0,124,25,34,18,6,41.97,0.31,0.0,05:01:00,0.0,none,1026.07,clear-night,44.46
2017-02-21,13379.98,,186,0,127,20,39,6,2,41.45,0.71,0.0,05:01:00,0.0,none,1022.59,partly-cloudy-night,41.45
2017-02-22,12914.12,,172,0,126,11,35,5,2,49.82,0.73,0.0,05:01:00,0.0,none,1012.75,partly-cloudy-night,49.82
2017-02-23,13450.75,,186,0,129,19,38,0,0,56.74,0.78,0.0,05:01:00,0.0,none,1011.24,partly-cloudy-night,56.74
2017-02-24,14834.67,,209,0,140,16,53,4,1,61.06,0.77,0.0,05:01:00,0.0,none,1011.06,partly-cloudy-night,61.06
2017-02-25,16599.52,,231,0,154,33,44,12,4,52.18,0.9,0.1641,20:00:00,1.0,rain,1000.85,rain,52.18
2017-02-26,14263.85,,201,0,125,38,38,17,7,34.59,0.46,0.0,02:00:00,0.0,none,1022.15,partly-cloudy-night,37.75
2017-02-27,13716.86,,171,0,138,14,19,3,2,48.55,0.52,0.0,05:01:00,0.0,none,1029.25,partly-cloudy-night,48.55
2017-02-28,15136.09,,161,0,113,33,15,4,2,51.81,0.9,0.0,05:01:00,0.0,none,1020.57,cloudy,51.81
2017-03-01,13773.48,,179,0,134,14,31,0,0,65.76,0.61,0.0827,12:00:00,0.0,rain,997.46,clear-night,65.76
2017-03-02,15066.19,,179,0,133,17,29,14,6,35.75,0.34,0.0014,02:00:00,0.0,rain,1016.13,clear-night,40.41
2017-03-03,14819.79,,190,0,125,17,48,9,4,24.47,0.55,0.0,05:01:00,0.0,none,1026.66,partly-cloudy-night,31.1
2017-03-04,18980.78,,240,0,164,4,72,0,0,13.64,0.31,0.0,05:01:00,0.0,none,1034.61,clear-night,22.65
2017-03-05,14517.5,,217,0,140,30,47,9,4,30.91,0.26,0.0,05:01:00,0.0,none,1033.91,clear-night,30.91
2017-03-06,13041.74,,166,0,119,21,26,4,2,39.38,0.54,0.0,05:01:00,0.0,none,1030.78,cloudy,39.38
2017-03-07,13784.06,,167,0,133,11,23,6,2,48.34,0.87,0.0318,11:00:00,0.0,rain,1019.58,partly-cloudy-night,48.34
