,closed,covers,outside,sales
2017-01-02 00:00:00,,173.0,0,12814.84
2017-01-03 00:00:00,,184.0,0,12442.11
2017-01-04 00:00:00,,176.0,0,11877.64
2017-01-05 00:00:00,,190.0,0,14057.79
2017-01-06 00:00:00,,194.0,0,14531.97
2017-01-07 00:00:00,,213.0,0,16751.239999999998
2017-01-08 00:00:00,,189.0,0,13628.09
2017-01-09 00:00:00,,174.0,0,12604.6
2017-01-10 00:00:00,,176.0,0,13227.15
2017-01-11 00:00:00,,203.0,0,14294.739999999998
2017-01-12 00:00:00,,182.0,0,15468.55
2017-01-13 00:00:00,,208.0,0,14839.62
2017-01-14 00:00:00,,225.0,0,17289.53
2017-01-15 00:00:00,,229.0,0,14541.24
2017-01-16 00:00:00,,204.0,0,13852.72
2017-01-17 00:00:00,,138.0,0,11401.96
2017-01-18 00:00:00,,179.0,0,11972.37
2017-01-19 00:00:00,,183.0,0,14409.93
2017-01-20 00:00:00,,209.0,0,16559.2
2017-01-21 00:00:00,,254.0,0,18003.79
2017-01-22 00:00:00,,167.0,0,11864.919999999998
2017-01-23 00:00:00,,164.0,0,13118.67
2017-01-24 00:00:00,,187.0,0,15002.2
2017-01-25 00:00:00,,204.0,0,15672.27
2017-01-26 00:00:00,,148.0,0,13125.48
2017-01-27 00:00:00,,197.0,0,15530.009999999998
2017-01-28 00:00:00,,224.0,0,17448.77
2017-01-29 00:00:00,,198.0,0,13307.47
2017-01-30 00:00:00,,185.0,0,13181.96
2017-01-31 00:00:00,,173.0,0,14939.51
2017-02-01 00:00:00,,202.0,0,13323.7
2017-02-02 00:00:00,,185.0,0,17747.129999999994
2017-02-03 00:00:00,,210.0,0,17399.43
2017-02-04 00:00:00,,218.0,0,17545.949999999993
2017-02-05 00:00:00,,0.0,0,0.0
2017-02-06 00:00:00,,168.0,0,11341.53
2017-02-07 00:00:00,,180.0,0,13435.24
2017-02-08 00:00:00,,185.0,0,14382.570000000003
2017-02-09 00:00:00,,196.0,0,13655.02
2017-02-10 00:00:00,,184.0,0,15970.63
2017-02-11 00:00:00,,223.0,0,16634.659999999996
2017-02-12 00:00:00,,199.0,0,13399.8
2017-02-13 00:00:00,,193.0,0,14480.929999999997
2017-02-14 00:00:00,,194.0,0,14081.16
2017-02-15 00:00:00,,200.0,0,15359.01
2017-02-16 00:00:00,,199.0,0,15015.679999999997
2017-02-17 00:00:00,,212.0,0,16412.299999999996
2017-02-18 00:00:00,,213.0,0,15832.199999999995
2017-02-19 00:00:00,,220.0,0,15567.31
2017-02-20 00:00:00,,184.0,0,12690.499999999998
2017-02-21 00:00:00,,189.0,0,13479.98
2017-02-22 00:00:00,,176.0,0,12884.12
2017-02-23 00:00:00,,185.0,0,13450.75
2017-02-24 00:00:00,,219.0,0,14834.67
2017-02-25 00:00:00,,249.0,0,16599.519999999997
2017-02-26 00:00:00,,211.0,0,13563.85
2017-02-27 00:00:00,,171.0,0,13716.86
2017-02-28 00:00:00,,159.0,0,15136.089999999998
2017-03-01 00:00:00,,186.0,0,13173.48
2017-03-02 00:00:00,,185.0,0,14391.19
2017-03-03 00:00:00,,190.0,0,14819.79
2017-03-04 00:00:00,,237.0,0,18980.78
2017-03-05 00:00:00,,225.0,0,14517.5
2017-03-06 00:00:00,,165.0,0,13041.74
2017-03-07 00:00:00,,181.0,0,13784.06
2017-03-08 00:00:00,,191.0,0,14269.45
2017-03-09 00:00:00,,197.0,0,14575.669999999998
2017-03-10 00:00:00,,208.0,0,14885.909999999998
2017-03-11 00:00:00,,213.0,0,16960.54
2017-03-12 00:00:00,,195.0,0,14304.03
2017-03-13 00:00:00,,177.0,0,13130.57
2017-03-14 00:00:00,,0.0,0,0.0
2017-03-15 00:00:00,,176.0,0,13096.54
2017-03-16 00:00:00,,191.0,0,14506.04
2017-03-17 00:00:00,,224.0,0,18070.45
2017-03-18 00:00:00,,224.0,0,17417.11
2017-03-19 00:00:00,,202.0,0,14875.57
2017-03-20 00:00:00,,193.0,0,13641.76
2017-03-21 00:00:00,,177.0,0,13840.11
2017-03-22 00:00:00,,183.0,0,13219.24
2017-03-23 00:00:00,,177.0,0,10424.55
2017-03-24 00:00:00,,198.0,0,14918.99
2017-03-25 00:00:00,,236.0,0,18004.2
2017-03-26 00:00:00,,223.0,0,15594.25
2017-03-27 00:00:00,,177.0,0,14012.569999999998
2017-03-28 00:00:00,,197.0,0,13064.82
2017-03-29 00:00:00,,207.0,0,13911.06
2017-03-30 00:00:00,,185.0,0,14750.53
2017-03-31 00:00:00,,200.0,0,14243.56
2017-04-01 00:00:00,,234.0,0,18290.05
2017-04-02 00:00:00,,204.0,0,14055.4
2017-04-03 00:00:00,,187.0,0,14837.15
2017-04-04 00:00:00,,207.0,0,12947.14
2017-04-05 00:00:00,,179.0,1,12610.13
2017-04-06 00:00:00,,200.0,0,13564.94
2017-04-07 00:00:00,,218.0,0,15871.63
2017-04-08 00:00:00,,244.0,0,16801.92
2017-04-09 00:00:00,,213.0,0,13944.97
2017-04-10 00:00:00,,252.0,1,17458.15
2017-04-11 00:00:00,,268.0,1,15765.8
2017-04-12 00:00:00,,278.0,1,19837.87
2017-04-13 00:00:00,,272.0,1,19152.21
2017-04-14 00:00:00,,289.0,1,20412.7
2017-04-15 00:00:00,,308.0,1,21810.18
2017-04-16 00:00:00,,318.0,1,17583.989999999998
2017-04-17 00:00:00,,226.0,1,15066.579999999998
2017-04-18 00:00:00,,199.0,1,13545.609999999995
2017-04-19 00:00:00,,178.0,0,12013.75
2017-04-20 00:00:00,,217.0,1,14418.24
2017-04-21 00:00:00,,205.0,1,16031.95
2017-04-22 00:00:00,,237.0,0,17513.949999999993
2017-04-23 00:00:00,,252.0,1,17684.269999999997
2017-04-24 00:00:00,,213.0,0,14321.38
2017-04-25 00:00:00,,184.0,0,15762.3
2017-04-26 00:00:00,,165.0,1,14203.219999999998
2017-04-27 00:00:00,,240.0,1,13968.95
2017-04-28 00:00:00,,309.0,1,22179.55
2017-04-29 00:00:00,,324.0,1,23920.469999999994
2017-04-30 00:00:00,,215.0,1,14023.2
2017-05-01 00:00:00,,220.0,1,15385.12
2017-05-02 00:00:00,,275.0,1,18539.12
2017-05-03 00:00:00,,226.0,1,15489.27
2017-05-04 00:00:00,,219.0,1,14832.34
2017-05-05 00:00:00,,214.0,0,15769.13
2017-05-06 00:00:00,,276.0,1,18954.37
2017-05-07 00:00:00,,201.0,0,14938.69
2017-05-08 00:00:00,,219.0,1,14801.45
2017-05-09 00:00:00,,189.0,1,13469.84
2017-05-10 00:00:00,,229.0,1,16527.61
2017-05-11 00:00:00,,230.0,1,17848.78
2017-05-12 00:00:00,,258.0,1,18747.37
2017-05-13 00:00:00,,223.0,0,16634.99
2017-05-14 00:00:00,,269.0,1,17343.57
2017-05-15 00:00:00,,240.0,1,19517.050000000007
2017-05-16 00:00:00,,295.0,1,20302.869999999995
2017-05-17 00:00:00,,278.0,1,16779.5
2017-05-18 00:00:00,,281.0,1,18928.199999999993
2017-05-19 00:00:00,,305.0,1,20266.91
2017-05-20 00:00:00,,334.0,1,23298.469999999994
2017-05-21 00:00:00,,286.0,1,18246.0
2017-05-22 00:00:00,,191.0,0,14307.2
2017-05-23 00:00:00,,254.0,1,17136.03
2017-05-24 00:00:00,,262.0,1,17580.299999999996
2017-05-25 00:00:00,,184.0,0,15073.34
2017-05-26 00:00:00,,313.0,1,21286.48
2017-05-27 00:00:00,,328.0,1,21122.05
2017-05-28 00:00:00,,306.0,1,21584.69
2017-05-29 00:00:00,,206.0,1,14086.2
2017-05-30 00:00:00,,198.0,1,13965.62
2017-05-31 00:00:00,,263.0,1,17932.979999999996
2017-06-01 00:00:00,,269.0,1,17090.9
2017-06-02 00:00:00,,327.0,1,22712.79
2017-06-03 00:00:00,,334.0,1,24031.63
2017-06-04 00:00:00,,210.0,0,14567.500000000002
2017-06-05 00:00:00,,207.0,1,14268.04
2017-06-06 00:00:00,,194.0,0,15728.74
2017-06-07 00:00:00,,268.0,1,19252.97
2017-06-08 00:00:00,,225.0,1,16688.07
2017-06-09 00:00:00,,314.0,1,22651.02
2017-06-10 00:00:00,,326.0,1,22254.239999999994
2017-06-11 00:00:00,,297.0,1,18248.209999999995
2017-06-12 00:00:00,,270.0,1,17578.510000000002
2017-06-13 00:00:00,,247.0,1,15456.31
2017-06-14 00:00:00,,259.0,1,18480.99
2017-06-15 00:00:00,,277.0,1,20487.230000000003
2017-06-16 00:00:00,,297.0,1,20674.78
2017-06-17 00:00:00,,320.0,1,21756.1
2017-06-18 00:00:00,,296.0,1,18356.879999999994
2017-06-19 00:00:00,,172.0,0,12991.77
2017-06-20 00:00:00,,277.0,1,18275.86
2017-06-21 00:00:00,,282.0,1,18679.24
2017-06-22 00:00:00,,291.0,1,20171.36
2017-06-23 00:00:00,,222.0,1,16353.36
2017-06-24 00:00:00,,325.0,1,23374.39
2017-06-25 00:00:00,,288.0,1,18404.039999999994
2017-06-26 00:00:00,,260.0,1,17695.88
2017-06-27 00:00:00,,274.0,1,16514.8
2017-06-28 00:00:00,,259.0,1,20258.38
2017-06-29 00:00:00,,274.0,1,18345.13
2017-06-30 00:00:00,,284.0,1,20441.16
2017-07-01 00:00:00,,313.0,1,21355.69
2017-07-02 00:00:00,,355.0,1,22313.93
2017-07-03 00:00:00,,315.0,1,21828.739999999994
2017-07-04 00:00:00,,284.0,1,16763.649999999998
2017-07-05 00:00:00,,265.0,1,17305.169999999995
2017-07-06 00:00:00,,246.0,1,16835.379999999994
2017-07-07 00:00:00,,278.0,1,18709.34
2017-07-08 00:00:00,,336.0,1,23457.75
2017-07-09 00:00:00,,298.0,1,18854.0
2017-07-10 00:00:00,,263.0,1,17003.47
2017-07-11 00:00:00,,249.0,1,16950.61
2017-07-12 00:00:00,,226.0,1,15246.97
2017-07-13 00:00:00,,192.0,0,13736.99
2017-07-14 00:00:00,,206.0,0,15212.84
2017-07-15 00:00:00,,311.0,1,22616.17
2017-07-16 00:00:00,,313.0,1,19423.81
2017-07-17 00:00:00,,273.0,1,17114.38
2017-07-18 00:00:00,,245.0,1,18465.34
2017-07-19 00:00:00,,258.0,1,15835.23
2017-07-20 00:00:00,,214.0,1,16617.98
2017-07-21 00:00:00,,316.0,1,20971.17
2017-07-22 00:00:00,,254.0,1,19057.54
2017-07-23 00:00:00,,304.0,1,22660.2
2017-07-24 00:00:00,,194.0,1,14590.44
2017-07-25 00:00:00,,248.0,1,16690.76
2017-07-26 00:00:00,,260.0,1,19567.17
2017-07-27 00:00:00,,259.0,1,18607.4
2017-07-28 00:00:00,,295.0,1,20115.74
2017-07-29 00:00:00,,366.0,1,22751.11
2017-07-30 00:00:00,,310.0,1,20259.24
2017-07-31 00:00:00,,258.0,1,17848.370000000006
2017-08-01 00:00:00,,249.0,1,14715.86
2017-08-02 00:00:00,,216.0,1,16260.86
2017-08-03 00:00:00,,274.0,1,19525.259999999995
2017-08-04 00:00:00,,314.0,1,21803.73
2017-08-05 00:00:00,,354.0,1,23863.22
2017-08-06 00:00:00,,309.0,1,20467.84
2017-08-07 00:00:00,,187.0,0,13258.249999999998
2017-08-08 00:00:00,,261.0,1,16367.489999999998
2017-08-09 00:00:00,,294.0,1,19525.2
2017-08-10 00:00:00,,290.0,1,20483.489999999994
2017-08-11 00:00:00,,295.0,1,20502.63
2017-08-12 00:00:00,,297.0,1,21402.2
2017-08-13 00:00:00,,320.0,1,19167.46
2017-08-14 00:00:00,,258.0,1,16887.089999999997
2017-08-15 00:00:00,,235.0,1,15814.97
2017-08-16 00:00:00,,258.0,1,18402.89
2017-08-17 00:00:00,,271.0,1,17964.11
2017-08-18 00:00:00,,228.0,1,16952.829999999994
2017-08-19 00:00:00,,341.0,1,22582.44
2017-08-20 00:00:00,,287.0,1,17123.57
2017-08-21 00:00:00,,265.0,1,17029.72
2017-08-22 00:00:00,,245.0,1,15595.789999999995
2017-08-23 00:00:00,,294.0,1,18835.74
2017-08-24 00:00:00,,277.0,1,18486.74
2017-08-25 00:00:00,,298.0,1,20794.34
2017-08-26 00:00:00,,321.0,1,19556.75
2017-08-27 00:00:00,,310.0,1,20214.07
2017-08-28 00:00:00,,265.0,1,19474.14
2017-08-29 00:00:00,,184.0,0,12263.19
2017-08-30 00:00:00,,293.0,1,19401.14
2017-08-31 00:00:00,,277.0,1,18963.38
2017-09-01 00:00:00,,321.0,1,20902.56
2017-09-02 00:00:00,,232.0,1,15546.439999999995
2017-09-03 00:00:00,,342.0,1,22341.209999999995
2017-09-04 00:00:00,,289.0,1,19093.88
2017-09-05 00:00:00,,252.0,1,15330.969999999998
2017-09-06 00:00:00,,190.0,0,19011.01
2017-09-07 00:00:00,,271.0,1,17132.96
2017-09-08 00:00:00,,299.0,1,20744.69
2017-09-09 00:00:00,,309.0,1,25070.04
2017-09-10 00:00:00,,303.0,1,19838.99
2017-09-11 00:00:00,,250.0,1,16540.239999999998
2017-09-12 00:00:00,,257.0,1,19495.39
2017-09-13 00:00:00,,248.0,1,16051.940000000002
2017-09-14 00:00:00,,259.0,1,18948.97
2017-09-15 00:00:00,,316.0,1,23891.76
2017-09-16 00:00:00,,335.0,1,22973.97
2017-09-17 00:00:00,,289.0,1,18674.45
2017-09-18 00:00:00,,250.0,1,15380.44
2017-09-19 00:00:00,,185.0,0,13013.17
2017-09-20 00:00:00,,247.0,1,17127.5
2017-09-21 00:00:00,,252.0,1,17543.5
2017-09-22 00:00:00,,303.0,1,23849.97
2017-09-23 00:00:00,,323.0,1,22119.18999999999
2017-09-24 00:00:00,,297.0,1,21105.07
2017-09-25 00:00:00,,242.0,1,16621.97
2017-09-26 00:00:00,,227.0,1,15122.889999999998
2017-09-27 00:00:00,,234.0,1,15899.96
2017-09-28 00:00:00,,253.0,1,17033.1
2017-09-29 00:00:00,,301.0,1,21847.5
2017-09-30 00:00:00,,292.0,1,21802.44
2017-10-01 00:00:00,,288.0,1,18929.99
2017-10-02 00:00:00,,238.0,1,14954.55
2017-10-03 00:00:00,,259.0,1,17632.16
2017-10-04 00:00:00,,260.0,1,16200.509999999998
2017-10-05 00:00:00,,256.0,1,19582.61
2017-10-06 00:00:00,,298.0,1,21679.16
2017-10-07 00:00:00,,316.0,1,20741.32
2017-10-08 00:00:00,,283.0,1,19543.23
2017-10-09 00:00:00,,181.0,0,11963.9
2017-10-10 00:00:00,,249.0,1,20407.96
2017-10-11 00:00:00,,186.0,1,16162.21
2017-10-12 00:00:00,,203.0,1,16489.37
2017-10-13 00:00:00,,316.0,1,21280.36
2017-10-14 00:00:00,,304.0,1,22069.9
2017-10-15 00:00:00,,263.0,1,19150.73
2017-10-16 00:00:00,,184.0,0,13282.99
2017-10-17 00:00:00,,174.0,0,12756.3
2017-10-18 00:00:00,,242.0,1,16604.629999999994
2017-10-19 00:00:00,,241.0,1,18486.050000000007
2017-10-20 00:00:00,,261.0,1,20765.46
2017-10-21 00:00:00,,318.0,1,24289.719999999994
2017-10-22 00:00:00,,262.0,1,19438.08
2017-10-23 00:00:00,,257.0,1,18651.8
2017-10-24 00:00:00,,190.0,0,13815.61
2017-10-25 00:00:00,,237.0,1,16344.68
2017-10-26 00:00:00,,197.0,0,18960.79
2017-10-27 00:00:00,,240.0,1,18441.58
2017-10-28 00:00:00,,301.0,1,23789.599999999995
2017-10-29 00:00:00,,194.0,0,13739.55
2017-10-30 00:00:00,,175.0,0,13910.509999999998
2017-10-31 00:00:00,,193.0,0,12840.32
2017-11-01 00:00:00,,181.0,0,17228.12
2017-11-02 00:00:00,,239.0,1,16444.199999999993
2017-11-03 00:00:00,,288.0,1,21446.5
2017-11-04 00:00:00,,219.0,0,17404.57
2017-11-05 00:00:00,,203.0,0,15677.17
2017-11-06 00:00:00,,180.0,0,14282.8
2017-11-07 00:00:00,,168.0,0,12713.13
2017-11-08 00:00:00,,187.0,0,13101.01
2017-11-09 00:00:00,,193.0,0,16285.379999999996
2017-11-10 00:00:00,,200.0,0,17368.440000000002
2017-11-11 00:00:00,,198.0,0,15200.3
2017-11-12 00:00:00,,200.0,0,14552.36
2017-11-13 00:00:00,,166.0,0,13097.0
2017-11-14 00:00:00,,165.0,0,14153.13
2017-11-15 00:00:00,,194.0,0,11361.91
2017-11-16 00:00:00,,194.0,0,16831.98
2017-11-17 00:00:00,,188.0,0,16040.229999999998
2017-11-18 00:00:00,,233.0,0,19809.02
2017-11-19 00:00:00,,212.0,0,16132.04
2017-11-20 00:00:00,,176.0,0,14078.5
2017-11-21 00:00:00,,195.0,0,16669.8
2017-11-22 00:00:00,,194.0,0,15824.55
2017-11-23 00:00:00,,0.0,0,0.0
2017-11-24 00:00:00,,187.0,0,12927.240000000002
2017-11-25 00:00:00,,211.0,0,14833.24
2017-11-26 00:00:00,,193.0,0,12832.36
2017-11-27 00:00:00,,183.0,0,12281.51
2017-11-28 00:00:00,,141.0,0,15149.48
2017-11-29 00:00:00,,177.0,0,14774.669999999998
2017-11-30 00:00:00,,175.0,0,14446.5
2017-12-01 00:00:00,,180.0,0,15761.27
2017-12-02 00:00:00,,224.0,0,17556.11
2017-12-03 00:00:00,,206.0,0,15075.48
2017-12-04 00:00:00,,181.0,0,19433.48
2017-12-05 00:00:00,,157.0,0,13039.21
2017-12-06 00:00:00,,178.0,0,12937.31
2017-12-07 00:00:00,,172.0,0,19497.05
2017-12-08 00:00:00,,221.0,0,18926.06
2017-12-09 00:00:00,,211.0,0,15644.28
2017-12-10 00:00:00,,190.0,0,14265.0
2017-12-11 00:00:00,,175.0,0,9477.75
2017-12-12 00:00:00,,178.0,0,13767.97
2017-12-13 00:00:00,,180.0,0,13246.48
2017-12-14 00:00:00,,183.0,0,12647.89
2017-12-15 00:00:00,,203.0,0,14550.3
2017-12-16 00:00:00,,202.0,0,13835.17
2017-12-17 00:00:00,,219.0,0,18217.0
2017-12-18 00:00:00,,172.0,0,13820.6
