date,inside_sales,outside_sales,inside_covers,outside_covers,reserved_covers,walkin_covers,waitlist_covers,no_show_covers,no_show_parties
2017-01-02,13159.84,0.0,174.0,0,106.0,26.0,42.0,17.0,6.0
2017-01-03,12442.11,0.0,181.0,0,119.0,31.0,31.0,14.0,4.0
2017-01-04,12927.64,0.0,174.0,0,131.0,17.0,26.0,5.0,2.0
2017-01-05,14457.79,0.0,191.0,0,138.0,25.0,28.0,4.0,2.0
2017-01-06,15331.97,0.0,200.0,0,130.0,16.0,54.0,6.0,3.0
2017-01-07,16245.739999999998,0.0,209.0,0,115.0,22.0,72.0,4.0,1.0
2017-01-08,14428.09,0.0,188.0,0,135.0,13.0,40.0,8.0,3.0
2017-01-09,12604.6,0.0,175.0,0,131.0,25.0,19.0,4.0,2.0
2017-01-10,13227.15,0.0,179.0,0,134.0,15.0,30.0,11.0,3.0
2017-01-11,15294.74,0.0,187.0,0,139.0,18.0,30.0,3.0,2.0
2017-01-12,15518.55,0.0,182.0,0,124.0,17.0,41.0,13.0,7.0
2017-01-13,14839.62,0.0,201.0,0,131.0,25.0,45.0,19.0,5.0
2017-01-14,17289.53,0.0,222.0,0,155.0,10.0,57.0,10.0,4.0
2017-01-15,15491.24,0.0,222.0,0,146.0,21.0,55.0,18.0,6.0
2017-01-16,13852.72,0.0,200.0,0,143.0,14.0,43.0,2.0,1.0
2017-01-17,11401.96,0.0,139.0,0,105.0,19.0,15.0,4.0,2.0
2017-01-18,13072.37,0.0,173.0,0,121.0,24.0,28.0,14.0,6.0
2017-01-19,14309.929999999997,0.0,186.0,0,129.0,23.0,34.0,5.0,3.0
2017-01-20,16909.2,0.0,202.0,0,140.0,14.0,48.0,6.0,2.0
2017-01-21,17803.79,0.0,241.0,0,163.0,20.0,58.0,4.0,2.0
2017-01-22,11864.92,0.0,167.0,0,116.0,26.0,25.0,6.0,3.0
2017-01-23,13118.67,0.0,164.0,0,129.0,18.0,17.0,16.0,5.0
2017-01-24,15002.2,0.0,179.0,0,136.0,2.0,41.0,10.0,4.0
2017-01-25,15672.27,0.0,198.0,0,151.0,15.0,32.0,2.0,1.0
2017-01-26,13775.48,0.0,148.0,0,89.0,17.0,42.0,10.0,4.0
2017-01-27,15530.009999999998,0.0,202.0,0,140.0,17.0,45.0,8.0,4.0
2017-01-28,17798.769999999997,0.0,217.0,0,142.0,25.0,50.0,8.0,3.0
2017-01-29,13957.47,0.0,198.0,0,130.0,17.0,51.0,6.0,3.0
2017-01-30,13181.96,0.0,183.0,0,139.0,11.0,33.0,9.0,4.0
2017-01-31,14639.51,0.0,161.0,0,117.0,15.0,29.0,10.0,4.0
2017-02-01,14123.7,0.0,194.0,0,145.0,8.0,41.0,8.0,3.0
2017-02-02,17747.129999999994,0.0,178.0,0,130.0,14.0,34.0,10.0,3.0
2017-02-03,17399.43,0.0,206.0,0,147.0,17.0,42.0,8.0,2.0
2017-02-04,17545.95,0.0,217.0,0,152.0,24.0,41.0,0.0,0.0
2017-02-05,0.0,0.0,,0,,,,,
2017-02-06,12541.53,0.0,168.0,0,127.0,20.0,21.0,8.0,3.0
