date,sales,covers,outside,apparent_temperature,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,temperature,day_of_week,month
2017-01-02,13159.84,173,0,35.58,0.92,0.0242,15:00:00,0.79,rain,1027.98,rain,39.06,0,1
2017-01-03,12442.11,178,0,41.5,0.94,0.0913,17:00:00,0.77,rain,1000.08,rain,43.19,1,1
2017-01-04,12927.64,172,0,36.81,0.4,0.0176,00:00:00,0.0,rain,1002.55,clear-night,42.29,2,1
2017-01-05,14457.79,188,0,27.11,0.48,0.0,05:01:00,0.0,none,1014.61,cloudy,31.36,3,1
2017-01-06,15331.97,192,0,24.74,0.48,0.0019,12:00:00,0.0,snow,1022.8,partly-cloudy-night,29.42,4,1
2017-01-07,16245.74,200,0,12.75,0.86,0.0005,16:00:00,0.0,snow,1019.96,fog,20.76,5,1
2017-01-08,14428.09,187,0,12.43,0.5,0.0,05:01:00,0.0,none,1032.24,partly-cloudy-night,20.61,6,1
2017-01-09,12604.6,172,0,20.6,0.6,0.0,05:01:00,0.0,none,1038.82,partly-cloudy-night,20.6,0,1
2017-01-10,13227.15,174,0,36.32,0.82,0.0046,23:00:00,0.0,rain,1028.4,cloudy,36.32,1,1
2017-01-11,15294.74,188,0,45.38,0.83,0.0999,03:00:00,0.0,rain,1024.75,partly-cloudy-night,45.38,2,1
2017-01-12,15518.55,180,0,61.38,0.7,0.0873,00:00:00,0.0,rain,1016.83,partly-cloudy-night,61.38,3,1
2017-01-13,14839.62,204,0,30.67,0.46,0.0,05:01:00,0.0,none,1036.88,clear-night,35.67,4,1
2017-01-14,17289.53,225,0,29.35,0.9,0.0007,17:00:00,0.0,none,1029.87,cloudy,29.35,5,1
2017-01-15,15491.24,222,0,32.81,0.64,0.0076,12:00:00,0.0,rain,1028.75,clear-night,32.81,6,1
2017-01-16,13852.72,198,0,38.64,0.61,0.0003,14:00:00,0.0,none,1027.4,partly-cloudy-night,38.64,0,1
2017-01-17,11401.96,135,0,39.16,0.92,0.0614,19:00:00,1.0,rain,1017.45,rain,39.16,1,1
2017-01-18,13072.37,178,0,40.71,0.87,0.0218,04:00:00,0.0,rain,1017.04,cloudy,40.71,2,1
2017-01-19,14309.93,181,0,41.9,0.73,0.0,05:01:00,0.0,none,1017.13,partly-cloudy-night,41.9,3,1
2017-01-20,16909.2,203,0,40.89,0.9,0.023,18:00:00,0.56,rain,1013.34,rain,40.89,4,1
2017-01-21,17803.79,239,0,45.52,0.93,0.0016,00:00:00,0.0,rain,1009.74,cloudy,45.52,5,1
2017-01-22,11864.92,167,0,46.11,0.85,0.0034,18:00:00,0.0,rain,1007.34,cloudy,47.89,6,1
2017-01-23,13118.67,154,0,30.42,0.9,0.1405,20:00:00,1.0,rain,1003.1,rain,37.0,0,1
2017-01-24,15002.2,172,0,33.08,0.86,0.1224,00:00:00,0.65,rain,995.82,rain,38.69,1,1
2017-01-25,15672.27,195,0,43.1,0.71,0.0015,00:00:00,0.0,rain,1004.03,partly-cloudy-night,43.1,2,1
2017-01-26,13775.48,145,0,40.0,0.56,0.0061,11:00:00,0.0,rain,998.44,partly-cloudy-night,44.19,3,1
2017-01-27,15530.01,195,0,34.08,0.58,0.0,05:01:00,0.0,none,1003.06,cloudy,38.99,4,1
2017-01-28,17798.77,216,0,33.72,0.57,0.0,05:01:00,0.0,none,1007.07,cloudy,36.61,5,1
2017-01-29,13957.47,198,0,37.06,0.47,0.0,05:01:00,0.0,none,1006.94,partly-cloudy-night,37.06,6,1
