date,day,service,total_covers,covers_vs_prev_week,reserved_covers,walkin_covers,waitlist_covers,no_show_res_rate,no_show_covers,no_show_parties
2019-06-10,Monday,Dinner,176,-66.0,126,2,48,0.07936507936507936,10,5
2019-06-11,Tuesday,Dinner,238,-4.0,130,0,108,0.015384615384615385,2,1
2019-06-12,Wednesday,Dinner,232,22.0,123,0,109,0.08130081300813008,10,3
2019-06-13,Thursday,Dinner,200,-49.0,120,0,80,0.08333333333333333,10,5
2019-06-14,Friday,Dinner,264,6.0,141,0,123,0.04964539007092199,7,3
2019-06-15,Saturday,Dinner,266,-21.0,127,0,139,0.07874015748031496,10,5
2019-06-16,Sunday,Dinner,227,-52.0,128,0,99,0.046875,6,3
2019-06-17,Monday,Dinner,250,74.0,139,5,106,0.0,0,0
2019-06-18,Tuesday,Dinner,175,-63.0,131,2,42,0.015267175572519083,2,1
2019-06-19,Wednesday,Dinner,183,-49.0,130,0,53,0.0,0,0
2019-06-20,Thursday,Dinner,218,18.0,123,2,93,0.08130081300813008,10,4
2019-06-21,Friday,Dinner,246,-18.0,137,2,107,0.043795620437956206,6,2
2019-06-22,Saturday,Dinner,273,7.0,132,0,141,0.030303030303030304,4,2
2019-06-23,Sunday,Dinner,275,48.0,129,0,146,0.06201550387596899,8,2
2019-06-24,Monday,Dinner,256,6.0,136,0,120,0.058823529411764705,8,4
2019-06-25,Tuesday,Dinner,213,38.0,103,0,110,0.1553398058252427,16,6
2019-06-26,Wednesday,Dinner,246,63.0,149,0,97,0.040268456375838924,6,2
2019-06-27,Thursday,Dinner,250,32.0,143,0,107,0.03496503496503497,5,2
2019-06-28,Friday,Dinner,251,5.0,145,0,106,0.08275862068965517,12,4
2019-06-29,Saturday,Dinner,261,-12.0,135,3,123,0.07407407407407407,10,5
2019-06-30,Sunday,Dinner,296,21.0,156,2,138,0.02564102564102564,4,1
