date,sales,covers,outside,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,day_of_week,month,closed,sales_per_cover,temp_very_cold,temp_cold,temp_warm,temp_hot,temp_very_hot
2017-01-02,12814.84,173.0,0,0.93,0.0243,03:00PM,0.74,rain,1027.76,rain,0,1,0,74.07421965317918,0.0,1.0,0.0,0.0,0.0
2017-01-03,12442.11,184.0,0,0.95,0.0919,05:00PM,0.7,rain,999.38,rain,1,1,0,67.62016304347826,0.0,0.0,1.0,0.0,0.0
2017-01-04,11877.64,176.0,0,0.37,0.018000000000000002,12:00AM,0.0,rain,1003.24,clear-night,2,1,0,67.4865909090909,0.0,1.0,0.0,0.0,0.0
2017-01-05,14057.79,190.0,0,0.49,0.0,05:01AM,0.0,none,1014.93,cloudy,3,1,0,73.98836842105264,0.0,1.0,0.0,0.0,0.0
2017-01-06,14531.97,194.0,0,0.49,0.0023,12:00PM,0.0,snow,1023.22,partly-cloudy-night,4,1,0,74.9070618556701,0.0,1.0,0.0,0.0,0.0
2017-01-07,16751.239999999998,213.0,0,0.87,0.0004,01:00PM,0.0,none,1020.02,fog,5,1,0,78.64431924882628,1.0,0.0,0.0,0.0,0.0
2017-01-08,13628.09,189.0,0,0.51,0.0,05:01AM,0.0,none,1032.84,clear-night,6,1,0,72.10629629629629,1.0,0.0,0.0,0.0,0.0
2017-01-09,12604.6,174.0,0,0.61,0.0,05:01AM,0.0,none,1038.7,partly-cloudy-night,0,1,0,72.44022988505748,1.0,0.0,0.0,0.0,0.0
2017-01-10,13227.15,176.0,0,0.84,0.0046,11:00PM,0.0,rain,1027.9,cloudy,1,1,0,75.15426136363637,0.0,1.0,0.0,0.0,0.0
2017-01-11,14294.739999999998,203.0,0,0.84,0.0959,03:00AM,0.0,rain,1024.22,partly-cloudy-night,2,1,0,70.41743842364531,0.0,0.0,1.0,0.0,0.0
2017-01-12,15468.55,182.0,0,0.71,0.0878,12:00AM,0.0,rain,1017.25,cloudy,3,1,0,84.99203296703297,0.0,0.0,0.0,1.0,0.0
2017-01-13,14839.62,208.0,0,0.47,0.0,05:01AM,0.0,none,1037.3,partly-cloudy-night,4,1,0,71.34432692307692,0.0,1.0,0.0,0.0,0.0
2017-01-14,17289.53,225.0,0,0.9,0.0005,05:00PM,0.0,none,1029.51,cloudy,5,1,0,76.84235555555556,0.0,1.0,0.0,0.0,0.0
2017-01-15,14541.24,229.0,0,0.65,0.0081,12:00PM,0.0,rain,1028.81,clear-night,6,1,0,63.49886462882096,0.0,1.0,0.0,0.0,0.0
2017-01-16,13852.72,204.0,0,0.61,0.0003,02:00PM,0.0,none,1027.36,partly-cloudy-night,0,1,0,67.90549019607843,0.0,1.0,0.0,0.0,0.0
