date,Sales
2017-01-02,427.01
2017-01-03,1920.37
2017-01-04,439.41
2017-01-05,946.57
2017-01-06,3053.26
2017-01-07,1615.25
2017-01-08,495.13
2017-01-09,162.13
2017-01-10,743.77
2017-01-11,570.52
2017-01-12,1526.06
2017-01-13,3681.01
2017-01-14,2612.2
2017-01-15,2318.56
2017-01-16,595.9
2017-01-17,847.74
2017-01-18,1264.89
2017-01-19,1863.96
2017-01-20,2898.84
2017-01-21,3392.71
2017-01-22,807.88
2017-01-23,966.5
2017-01-24,428.46
2017-01-25,1042.54
2017-01-26,1083.46
2017-01-27,1678.78
2017-01-28,4063.72
2017-01-29,677.19
2017-01-30,430.39
2017-01-31,452.43
2017-02-01,966.95
2017-02-02,1609.27
2017-02-03,3124.06
2017-02-04,3660.78
2017-02-05,1485.94
2017-02-06,724.87
2017-02-07,460.23
2017-02-08,1324.06
2017-02-09,1133.31
2017-02-10,3611.63
2017-02-11,4027.04
2017-02-12,1139.91
2017-02-13,790.26
2017-02-14,1436.86
2017-02-15,1301.49
2017-02-16,913.41
2017-02-17,3035.34
2017-02-18,4641.53
2017-02-19,2097.26
2017-02-20,590.56
2017-02-21,441.67
2017-02-22,1005.91
2017-02-23,1775.85
2017-02-24,3045.96
2017-02-25,3635.7
2017-02-26,1480.49
2017-02-27,484.24
2017-02-28,413.32
2017-03-01,2700.35
2017-03-02,1354.03
2017-03-03,2504.66
2017-03-04,2866.58
2017-03-05,287.12
2017-03-06,1255.49
2017-03-07,804.39
2017-03-08,826.44
2017-03-09,1011.56
2017-03-10,2943.26
2017-03-11,3749.14
2017-03-12,859.15
2017-03-13,1850.34
2017-03-14,440.85
2017-03-15,430.58
2017-03-16,446.01
2017-03-17,4225.9
2017-03-18,3521.1
2017-03-19,857.52
2017-03-20,607.51
2017-03-21,1034.97
2017-03-22,867.04
2017-03-23,958.17
2017-03-24,3958.14
2017-03-25,4557.69
2017-03-26,572
2017-03-27,1022.43
2017-03-28,998.75
2017-03-29,626.42
2017-03-30,773.91
2017-03-31,1672.97
2017-04-01,3319.01
2017-04-02,2199.19
2017-04-03,466.41
2017-04-04,486.7
2017-04-05,483.87
2017-04-06,747.44
2017-04-07,3170.09
2017-04-08,3329.12
2017-04-09,269.3
2017-04-10,643.69
2017-04-11,1204.63
2017-04-12,793.96
2017-04-13,1695.67
2017-04-14,4275.3
2017-04-15,3365.35
2017-04-16,514.34
2017-04-17,359.12
2017-04-18,716.61
2017-04-19,767.4
2017-04-20,1010.85
2017-04-21,2140.52
2017-04-22,2766.48
2017-04-23,362.05
2017-04-24,495.6
2017-04-25,712.72
2017-04-26,1389.65
2017-04-27,1211.07
2017-04-28,2210.39
2017-04-29,3671.66
2017-04-30,464.67
2017-05-01,464.69
2017-05-02,1054.23
2017-05-03,528.31
2017-05-04,1146.75
2017-05-05,2545.37
2017-05-06,3892.9
2017-05-07,444.24
2017-05-08,380.04
2017-05-09,509.39
2017-05-10,1091.89
2017-05-11,1124.7
2017-05-12,3038.86
2017-05-13,2223.84
2017-05-14,404.13
2017-05-15,604.02
2017-05-16,552.18
2017-05-17,1391.31
2017-05-18,959.82
2017-05-19,4039.11
2017-05-20,2938.26
2017-05-21,1123.69
2017-05-22,497.82
2017-05-23,961.93
2017-05-24,1050.31
2017-05-25,1941.62
2017-05-26,3535.26
2017-05-27,3262.29
2017-05-28,3268.27
2017-05-29,772.51
2017-05-30,562.1
2017-05-31,715.15
2017-06-01,609.87
2017-06-02,2459.93
2017-06-03,3130.9
2017-06-04,885.51
2017-06-05,676.01
2017-06-06,653.96
2017-06-07,536.36
2017-06-08,1385.35
2017-06-09,2948.39
2017-06-10,3094.53
2017-06-11,592.18
2017-06-12,950.37
2017-06-13,741.21
2017-06-14,1212.33
2017-06-15,1256.07
2017-06-16,2794.88
2017-06-17,3437.79
2017-06-18,946.05
2017-06-19,380.16
2017-06-20,510.14
2017-06-21,911.13
2017-06-22,1135.04
2017-06-23,1711.05
2017-06-24,3755.92
2017-06-25,279.03
2017-06-26,214.92
2017-06-27,1011.1
2017-06-28,663.12
2017-06-29,740.62
2017-06-30,4648.91
2017-07-01,2288.1
2017-07-02,443.89
2017-07-03,4075.47
2017-07-04,625
2017-07-05,385.37
2017-07-06,493.21
2017-07-07,2533.68
2017-07-08,2942.12
2017-07-09,525.01
2017-07-10,880.55
2017-07-11,915.14
2017-07-12,587.3
2017-07-13,1527.43
2017-07-14,1983.6
2017-07-15,3026.11
2017-07-16,589.67
2017-07-17,397.32
2017-07-18,719.53
2017-07-19,760.86
2017-07-20,1141.51
2017-07-21,2873.8
2017-07-22,3320.73
2017-07-23,663.61
2017-07-24,322.37
2017-07-25,508.17
2017-07-26,816.96
2017-07-27,1136.44
2017-07-28,1122.84
2017-07-29,3144.63
2017-07-30,807.49
2017-07-31,386.32
2017-08-01,702.97
2017-08-02,887.5
2017-08-03,885.36
2017-08-04,3481.49
2017-08-05,2665.16
2017-08-06,583.62
2017-08-07,318.16
2017-08-08,1182.99
2017-08-09,584.37
2017-08-10,629.71
2017-08-11,3226.44
2017-08-12,3635.02
2017-08-13,537.7
2017-08-14,557.07
2017-08-15,879.51
2017-08-16,479.63
2017-08-17,1804.71
2017-08-18,3504.56
2017-08-19,3142.18
2017-08-20,631.36
2017-08-21,1111.15
2017-08-22,560.64
2017-08-23,959.78
2017-08-24,1297.65
2017-08-25,2516.34
2017-08-26,1877.69
2017-08-27,380.06
2017-08-28,145.7
2017-08-29,573.58
2017-08-30,417.07
2017-08-31,1294.91
2017-09-01,3771.13
2017-09-02,1893.9
2017-09-03,2317.73
2017-09-04,83.58
2017-09-05,205.17
2017-09-06,491
2017-09-07,1205.45
2017-09-08,4041.72
2017-09-09,2741.92
2017-09-10,598.86
2017-09-11,513.44
2017-09-12,415.7
2017-09-13,403.76
2017-09-14,2004.19
2017-09-15,3415.7
2017-09-16,3645.39
2017-09-17,355.81
2017-09-18,339.09
2017-09-19,924.45
2017-09-20,685.56
2017-09-21,1086.38
2017-09-22,3730.14
2017-09-23,4106.88
2017-09-24,495.49
2017-09-25,737.54
2017-09-26,441.96
2017-09-27,999.86
2017-09-28,1033.64
2017-09-29,3413.34
