date,sales,closed,temp_very_cold,temp_cold,temp_warm,temp_hot,temp_very_hot,precip_while_open,sunday_three_day,sales_trend,day_cluster_0_X_month_cluster_0,day_cluster_0_X_month_cluster_1,day_cluster_0_X_month_cluster_2,day_cluster_1_X_month_cluster_0,day_cluster_1_X_month_cluster_1,day_cluster_1_X_month_cluster_2,day_cluster_2_X_month_cluster_0,day_cluster_2_X_month_cluster_1,day_cluster_2_X_month_cluster_2,day_cluster_3_X_month_cluster_0,day_cluster_3_X_month_cluster_1,day_cluster_3_X_month_cluster_2,day_cluster_4_X_month_cluster_0,day_cluster_4_X_month_cluster_1,day_cluster_4_X_month_cluster_2,day_cluster_5_X_month_cluster_0,day_cluster_5_X_month_cluster_1,day_cluster_5_X_month_cluster_2,day_cluster_6_X_month_cluster_0,day_cluster_6_X_month_cluster_1,day_cluster_6_X_month_cluster_2,temp_very_cold_X_outside,temp_cold_X_outside,temp_warm_X_outside,temp_hot_X_outside,temp_very_hot_X_outside
2017-01-02,12814.84,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-03,12442.11,0,0.0,0.0,1.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
2017-01-04,11877.64,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-05,14057.79,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-06,14531.97,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-07,16751.239999999998,0,1.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-08,13628.09,0,1.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-09,12604.6,0,1.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-10,13227.15,0,0.0,1.0,0.0,0.0,0.0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
2017-01-11,14294.739999999998,0,0.0,0.0,1.0,0.0,0.0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-12,15468.55,0,0.0,0.0,0.0,1.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-13,14839.62,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-14,17289.53,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-15,14541.24,0,0.0,1.0,0.0,0.0,0.0,0,1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-16,13852.72,0,0.0,0.0,1.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-17,11401.96,0,0.0,0.0,1.0,0.0,0.0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
2017-01-18,11972.37,0,0.0,0.0,1.0,0.0,0.0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-19,14409.93,0,0.0,0.0,1.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-20,16559.2,0,0.0,0.0,1.0,0.0,0.0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-21,18003.79,0,0.0,0.0,1.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-23,13118.67,0,0.0,1.0,0.0,0.0,0.0,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-24,15002.2,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
2017-01-25,15672.27,0,0.0,0.0,1.0,0.0,0.0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-26,13125.48,0,0.0,0.0,1.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-27,15530.009999999998,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-28,17448.77,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-29,13307.47,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-30,13181.96,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-31,14939.51,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
2017-02-01,13323.7,0,0.0,0.0,1.0,0.0,0.0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-02,17747.129999999994,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-03,17399.43,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-04,17545.949999999993,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-05,0.0,1,0.0,0.0,1.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-06,11341.53,0,0.0,0.0,1.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-07,13435.24,0,0.0,1.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
2017-02-08,14382.570000000003,0,0.0,0.0,1.0,0.0,0.0,0,0,-4251.829999999958,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-09,13655.02,0,1.0,0.0,0.0,0.0,0.0,0,0,-8133.699999999895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-10,15970.63,0,0.0,1.0,0.0,0.0,0.0,0,0,-10347.53999999992,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-11,16634.659999999996,0,0.0,0.0,1.0,0.0,0.0,0,0,-13675.929999999935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-12,13399.8,0,0.0,1.0,0.0,0.0,0.0,0,0,-1686.8899999999558,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-13,14480.929999999997,0,0.0,1.0,0.0,0.0,0.0,0,0,1144.859999999986,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-14,14081.16,0,0.0,1.0,0.0,0.0,0.0,0,0,1252.4899999999325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
2017-02-15,15359.01,0,0.0,1.0,0.0,0.0,0.0,1,0,1315.7799999999697,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-16,15015.679999999997,0,0.0,1.0,0.0,0.0,0.0,0,0,1428.3199999999488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-17,16412.299999999996,0,0.0,1.0,0.0,0.0,0.0,0,0,3695.179999999935,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-18,15832.199999999995,0,0.0,0.0,0.0,1.0,0.0,0,0,5215.089999999967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-19,15567.31,0,0.0,0.0,0.0,1.0,0.0,0,1,8441.219999999972,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-20,12690.499999999998,0,0.0,0.0,1.0,0.0,0.0,0,0,4931.209999999963,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-21,13479.98,0,0.0,0.0,1.0,0.0,0.0,0,0,3615.7700000000186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
2017-02-22,12884.12,0,0.0,0.0,1.0,0.0,0.0,0,0,2563.4500000000116,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-23,13450.75,0,0.0,0.0,0.0,1.0,0.0,0,0,-150.96000000002095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-24,14834.67,0,0.0,0.0,0.0,1.0,0.0,0,0,-5998.900000000023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-25,16599.519999999997,0,0.0,0.0,1.0,0.0,0.0,1,0,-6384.690000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
