date,covers,closed,temp_very_cold,temp_very_hot,precip_while_open,sunday_three_day,day_cluster_0_X_month_cluster_0,day_cluster_0_X_month_cluster_1,day_cluster_0_X_month_cluster_2,day_cluster_1_X_month_cluster_0,day_cluster_1_X_month_cluster_1,day_cluster_1_X_month_cluster_2,day_cluster_2_X_month_cluster_0,day_cluster_2_X_month_cluster_1,day_cluster_2_X_month_cluster_2,day_cluster_3_X_month_cluster_0,day_cluster_3_X_month_cluster_1,day_cluster_3_X_month_cluster_2,day_cluster_4_X_month_cluster_0,day_cluster_4_X_month_cluster_1,day_cluster_4_X_month_cluster_2,day_cluster_5_X_month_cluster_0,day_cluster_5_X_month_cluster_1,day_cluster_5_X_month_cluster_2,day_cluster_6_X_month_cluster_0,day_cluster_6_X_month_cluster_1,day_cluster_6_X_month_cluster_2,outside_X_precip_open,temp_very_cold_X_outside,temp_cold_X_outside,temp_warm_X_outside,temp_hot_X_outside,temp_very_hot_X_outside,target_trend,same_day_target_avg_prev_4_weeks
2017-01-02,173.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2017-01-03,184.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2017-01-04,176.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,
2017-01-05,190.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2017-01-06,194.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2017-01-07,213.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2017-01-08,189.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2017-01-09,174.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2017-01-10,176.0,0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2017-01-11,203.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,
