date,sales,dinner_covers,outside
2017-01-02,12814.84,173,0
2017-01-03,12442.11,184,0
2017-01-04,11877.640000000001,176,0
2017-01-05,14057.789999999999,190,0
2017-01-06,14531.97,194,0
2017-01-07,16751.239999999998,213,0
2017-01-08,13628.09,189,0
2017-01-09,12604.6,174,0
2017-01-10,13227.15,176,0
2017-01-11,14294.739999999998,203,0
2017-01-12,15468.550000000001,182,0
2017-01-13,14839.619999999999,208,0
2017-01-14,17289.53,225,0
2017-01-15,14541.24,229,0
2017-01-16,13852.720000000001,204,0
2017-01-17,11401.96,138,0
2017-01-18,11972.369999999999,179,0
2017-01-19,14409.93,183,0
2017-01-20,16559.2,209,0
2017-01-21,18003.79,254,0
2017-01-22,11864.919999999998,167,0
2017-01-23,13118.67,164,0
2017-01-24,15002.2,187,0
2017-01-25,15672.27,204,0
2017-01-26,13125.480000000001,148,0
2017-01-27,15530.009999999998,197,0
2017-01-28,17448.77,224,0
2017-01-29,13307.47,198,0
2017-01-30,13181.96,185,0
2017-01-31,14939.51,173,0
2017-02-01,13323.7,202,0
2017-02-02,17747.129999999997,185,0
2017-02-03,17399.43,210,0
2017-02-04,17545.949999999997,218,0
2017-02-05,0,0,0
2017-02-06,11341.529999999999,168,0
2017-02-07,13435.24,180,0
2017-02-08,14382.570000000002,185,0
2017-02-09,13655.02,196,0
2017-02-10,15970.630000000001,184,0
2017-02-11,16634.659999999996,223,0
2017-02-12,13399.8,199,0
2017-02-13,14480.929999999998,193,0
2017-02-14,14081.16,194,0
2017-02-15,15359.01,200,0
2017-02-16,15015.679999999998,199,0
2017-02-17,16412.299999999996,212,0
2017-02-18,15832.199999999997,213,0
2017-02-19,15567.31,220,0
2017-02-20,12690.499999999998,184,0
2017-02-21,13479.980000000001,189,0
2017-02-22,12884.119999999999,176,0
2017-02-23,13450.75,185,0
2017-02-24,14834.67,219,0
2017-02-25,16599.519999999997,249,0
2017-02-26,13563.85,211,0
2017-02-27,13716.859999999999,171,0
2017-02-28,15136.089999999998,159,0
2017-03-01,13173.48,186,0
2017-03-02,14391.19,185,0
2017-03-03,14819.789999999999,190,0
2017-03-04,18980.78,237,0
2017-03-05,14517.5,225,0
2017-03-06,13041.74,165,0
2017-03-07,13784.06,181,0
2017-03-08,14269.449999999999,191,0
2017-03-09,14575.669999999998,197,0
2017-03-10,14885.909999999998,208,0
2017-03-11,16960.54,213,0
2017-03-12,14304.03,195,0
2017-03-13,13130.57,177,0
2017-03-14,0,0,0
2017-03-15,13096.539999999999,176,0
2017-03-16,14506.039999999999,191,0
2017-03-17,18070.449999999997,224,0
2017-03-18,17417.11,224,0
2017-03-19,14875.57,202,0
2017-03-20,13641.76,193,0
2017-03-21,13840.109999999999,177,0
2017-03-22,13219.24,183,0
2017-03-23,10424.55,177,0
2017-03-24,14918.99,198,0
2017-03-25,18004.2,236,0
2017-03-26,15594.25,223,0
2017-03-27,14012.569999999998,177,0
2017-03-28,13064.82,197,0
2017-03-29,13911.060000000001,207,0
2017-03-30,14750.529999999999,185,0
