date,apparent_temperature,humidity,precip_intensity_max,precip_max_time,precip_type,summary,temperature,day_of_week,month
2017-01-01,36.95,0.57,0.0,05:01AM,none_,clear-night,36.95,6,1
2017-01-02,35.59,0.93,0.0243,03:00PM,rain,rain,39.12,0,1
2017-01-03,41.72,0.95,0.0919,05:00PM,rain,rain,43.06,1,1
2017-01-04,35.07,0.37,0.018,12:00AM,rain,clear-night,41.16,2,1
2017-01-05,26.44,0.49,0.0,05:01AM,none_,cloudy,31.49,3,1
2017-01-06,24.24,0.49,0.0023,12:00PM,snow,partly-cloudy-night,29.02,4,1
2017-01-07,12.77,0.87,0.0004,01:00PM,none_,fog,20.73,5,1
2017-01-08,11.49,0.51,0.0,05:01AM,none_,clear-night,20.24,6,1
2017-01-09,20.34,0.61,0.0,05:01AM,none_,partly-cloudy-night,20.34,0,1
2017-01-10,36.73,0.84,0.0046,11:00PM,rain,cloudy,36.73,1,1
2017-01-11,45.54,0.84,0.0959,03:00AM,rain,partly-cloudy-night,45.54,2,1
2017-01-12,60.89,0.71,0.0878,12:00AM,rain,cloudy,60.89,3,1
2017-01-13,30.05,0.47,0.0,05:01AM,none_,partly-cloudy-night,34.97,4,1
2017-01-14,29.46,0.9,0.0005,05:00PM,none_,cloudy,29.46,5,1
2017-01-15,32.29,0.65,0.0081,12:00PM,rain,clear-night,32.29,6,1
2017-01-16,38.87,0.61,0.0003,02:00PM,none_,partly-cloudy-night,38.87,0,1
2017-01-17,39.17,0.93,0.0615,07:00PM,rain,rain,39.17,1,1
2017-01-18,40.5,0.87,0.022,04:00AM,rain,cloudy,40.5,2,1
2017-01-19,41.48,0.74,0.0,05:01AM,none_,partly-cloudy-night,41.48,3,1
2017-01-20,40.87,0.9,0.0229,06:00PM,rain,cloudy,40.87,4,1
2017-01-21,45.28,0.94,0.0018,12:00AM,rain,cloudy,45.28,5,1
2017-01-22,44.96,0.84,0.0034,06:00PM,rain,cloudy,47.72,6,1
2017-01-23,30.01,0.9,0.1399,08:00PM,rain,rain,36.91,0,1
2017-01-24,32.52,0.87,0.1211,12:00AM,rain,rain,38.37,1,1
2017-01-25,42.85,0.73,0.0015,12:00AM,rain,partly-cloudy-night,42.85,2,1
2017-01-26,39.76,0.56,0.0067,11:00AM,rain,partly-cloudy-night,43.99,3,1
2017-01-27,33.46,0.59,0.0,05:01AM,none_,cloudy,38.75,4,1
2017-01-28,33.39,0.57,0.0,05:01AM,none_,cloudy,36.65,5,1
2017-01-29,36.71,0.49,0.0,05:01AM,none_,partly-cloudy-night,36.71,6,1
2017-01-30,31.32,0.45,0.0,05:01AM,none_,clear-night,31.32,0,1
2017-01-31,30.54,0.87,0.0004,03:00PM,none_,cloudy,30.54,1,1
2017-02-01,40.94,0.67,0.005,12:00PM,rain,cloudy,40.94,2,2
2017-02-02,32.54,0.54,0.0,05:01AM,none_,partly-cloudy-night,35.82,3,2
2017-02-03,24.2,0.45,0.0,05:01AM,none_,cloudy,30.46,4,2
2017-02-04,27.19,0.41,0.0,05:01AM,none_,clear-night,31.03,5,2
2017-02-05,36.32,0.48,0.0,05:01AM,none_,partly-cloudy-night,38.93,6,2
2017-02-06,39.25,0.73,0.0,05:01AM,none_,clear-night,39.25,0,2
2017-02-07,35.39,0.93,0.0702,12:00PM,rain,cloudy,38.24,1,2
2017-02-08,47.33,0.58,0.0138,04:00AM,rain,partly-cloudy-night,47.33,2,2
2017-02-09,9.57,0.54,0.0076,06:00AM,snow,partly-cloudy-night,20.41,3,2
2017-02-10,23.59,0.57,0.0077,03:00PM,snow,cloudy,28.88,4,2
2017-02-11,39.76,0.66,0.0121,01:00PM,rain,partly-cloudy-night,39.76,5,2
2017-02-12,34.36,0.94,0.0195,01:00PM,rain,rain,34.36,6,2
2017-02-13,25.05,0.59,0.0062,12:00PM,snow,clear-night,32.16,0,2
2017-02-14,36.42,0.67,0.0054,03:00PM,rain,clear-night,36.42,1,2
2017-02-15,32.07,0.75,0.0032,07:00PM,rain,cloudy,37.31,2,2
2017-02-16,22.95,0.54,0.0,05:01AM,none_,partly-cloudy-night,30.5,3,2
2017-02-17,37.6,0.46,0.0,05:01AM,none_,partly-cloudy-night,37.6,4,2
2017-02-18,54.5,0.49,0.0,05:01AM,none_,clear-night,54.5,5,2
2017-02-19,53.12,0.48,0.0,05:01AM,none_,clear-night,53.12,6,2
2017-02-20,40.55,0.32,0.0,05:01AM,none_,clear-night,43.33,0,2
2017-02-21,41.29,0.72,0.0,05:01AM,none_,partly-cloudy-night,41.29,1,2
2017-02-22,48.58,0.76,0.0,05:01AM,none_,partly-cloudy-night,48.58,2,2
