date,apparent_temperature,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,temperature,day_of_week,month
2017-01-01,36.76,0.57,0.0,05:01AM,0.0,none,1028.88,clear-night,36.76,6,1
2017-01-02,35.66,0.92,0.0242,03:00PM,0.72,rain,1027.76,rain,39.11,0,1
2017-01-03,41.6,0.95,0.0913,05:00PM,0.67,rain,999.39,rain,43.03,1,1
2017-01-04,35.04,0.37,0.0176,12:00AM,0.0,rain,1003.25,clear-night,41.09,2,1
2017-01-05,26.56,0.48,0.0,05:01AM,0.0,none,1014.93,cloudy,31.45,3,1
2017-01-06,24.3,0.48,0.0019,12:00PM,0.0,snow,1023.23,partly-cloudy-night,28.97,4,1
2017-01-07,13.03,0.86,0.0005,04:00PM,0.0,snow,1020.03,fog,20.78,5,1
2017-01-08,11.48,0.51,0.0,05:01AM,0.0,none,1032.86,clear-night,20.15,6,1
2017-01-09,20.26,0.61,0.0,05:01AM,0.0,none,1038.69,partly-cloudy-night,20.26,0,1
2017-01-10,36.77,0.84,0.0046,11:00PM,0.0,rain,1027.89,cloudy,36.77,1,1
2017-01-11,45.59,0.83,0.0999,03:00AM,0.0,rain,1024.21,partly-cloudy-night,45.59,2,1
2017-01-12,61.11,0.71,0.0873,12:00AM,0.0,rain,1017.25,cloudy,61.11,3,1
2017-01-13,30.12,0.47,0.0,05:01AM,0.0,none,1037.31,partly-cloudy-night,34.94,4,1
2017-01-14,29.49,0.9,0.0007,05:00PM,0.0,none,1029.51,cloudy,29.49,5,1
2017-01-15,32.23,0.65,0.0076,12:00PM,0.0,rain,1028.81,clear-night,32.23,6,1
2017-01-16,38.88,0.61,0.0003,02:00PM,0.0,none,1027.36,partly-cloudy-night,38.88,0,1
2017-01-17,39.18,0.92,0.0614,07:00PM,1.0,rain,1017.13,rain,39.18,1,1
2017-01-18,40.55,0.87,0.0218,04:00AM,0.0,rain,1016.94,cloudy,40.55,2,1
2017-01-19,41.45,0.74,0.0,05:01AM,0.0,none,1017.2,partly-cloudy-night,41.45,3,1
2017-01-20,40.92,0.9,0.023,06:00PM,0.29,rain,1013.29,cloudy,40.92,4,1
2017-01-21,45.35,0.93,0.0016,12:00AM,0.0,rain,1009.79,cloudy,45.35,5,1
2017-01-22,45.29,0.84,0.0034,06:00PM,0.0,rain,1007.43,cloudy,47.8,6,1
2017-01-23,30.16,0.9,0.1405,08:00PM,1.0,rain,1002.67,rain,36.91,0,1
2017-01-24,32.62,0.87,0.1224,12:00AM,0.82,rain,996.19,rain,38.41,1,1
2017-01-25,42.93,0.73,0.0015,12:00AM,0.0,rain,1003.92,partly-cloudy-night,42.93,2,1
2017-01-26,39.81,0.56,0.0061,11:00AM,0.0,rain,998.7,partly-cloudy-night,43.98,3,1
2017-01-27,33.64,0.59,0.0,05:01AM,0.0,none,1003.27,cloudy,38.74,4,1
2017-01-28,33.49,0.57,0.0,05:01AM,0.0,none,1007.4,cloudy,36.62,5,1
2017-01-29,36.7,0.49,0.0,05:01AM,0.0,none,1007.07,partly-cloudy-night,36.7,6,1
2017-01-30,31.27,0.45,0.0,05:01AM,0.0,none,1013.03,clear-night,31.27,0,1
